CTID_FIVETRAN_ID,ID,SKU,NAME,DESCRIPTION,SUBCATEGORY_ID,BRAND,UNIT_PRICE,WEIGHT_LBS,IS_ACTIVE,CREATED_AT,UPDATED_AT,_FIVETRAN_DELETED,_FIVETRAN_SYNCED,DEMO_BATCH_ID,VENDOR_ID
TBD_PR_000011,11,PLB-011,"BLOCK+DEKKER 3/4"" Ball Valve No. 11",Quality hardware from The Build Depot (TBD),11,BLOCK+DEKKER,130.99,3.80,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000012,12,PLB-012,Kraftsman 40-Gal Gas Water Heater No. 12,Quality hardware from The Build Depot (TBD),12,Kraftsman,141.99,4.10,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000013,13,ELC-013,Huskie 14/2 Romex Wire 250ft No. 13,Quality hardware from The Build Depot (TBD),13,Huskie,69.99,4.40,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000014,14,ELC-014,Klien Toolz Decora 15A Outlet No. 14,Quality hardware from The Build Depot (TBD),14,Klien Toolz,74.99,4.70,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000015,15,ELC-015,Levitan 20A Circuit Breaker No. 15,Quality hardware from The Build Depot (TBD),15,Levitan,79.99,5.00,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000016,16,ELC-016,Dolta Faucets LED A19 Bulb 4-Pack No. 16,Quality hardware from The Build Depot (TBD),16,Dolta Faucets,84.99,5.30,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000017,17,PNT-017,Webber Interior Flat Paint 1-Gal No. 17,Quality hardware from The Build Depot (TBD),17,Webber,46.99,0.60,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000018,18,PNT-018,Skotts Exterior Semi-Gloss 1-Gal No. 18,Quality hardware from The Build Depot (TBD),18,Skotts,48.99,0.90,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000019,19,PNT-019,STEELE Deck Stain Transparent 1-Gal No. 19,Quality hardware from The Build Depot (TBD),19,STEELE,50.99,1.20,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000020,20,PNT-020,Owens Korning Multi-Surface Primer 1-Qt No. 20,Quality hardware from The Build Depot (TBD),20,Owens Korning,52.99,1.50,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000021,21,HDW-021,"DeWalter #8 x 2"" Wood Screws 100-Pk No. 21",Quality hardware from The Build Depot (TBD),21,DeWalter,24.99,1.80,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000022,22,HDW-022,"Milwonky 3"" Framing Nails 1-Lb No. 22",Quality hardware from The Build Depot (TBD),22,Milwonky,25.99,2.10,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000023,23,HDW-023,Wyobi Drywall Anchor Kit 50-Pk No. 23,Quality hardware from The Build Depot (TBD),23,Wyobi,26.99,2.40,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000024,24,HDW-024,"Makuta 3.5"" Door Hinge 3-Pack No. 24",Quality hardware from The Build Depot (TBD),24,Makuta,27.99,2.70,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000025,25,LBR-025,Bozch 2x4x8 Kiln-Dried SPF No. 25,Quality hardware from The Build Depot (TBD),25,Bozch,5.99,3.00,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000026,26,LBR-026,"Stanly 4x8 1/2"" Plywood Panel No. 26",Quality hardware from The Build Depot (TBD),26,Stanly,9.99,3.30,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000027,27,LBR-027,"4M R-13 Fiberglass Batt 15"" No. 27",Quality hardware from The Build Depot (TBD),27,4M,13.99,3.60,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000028,28,LBR-028,"Rust-O-Liam 4x8 1/2"" Drywall Sheet No. 28",Quality hardware from The Build Depot (TBD),28,Rust-O-Liam,17.99,3.90,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000029,29,HVC-029,Sherman-Willams 1500W Ceramic Space Heater No. 29,Quality hardware from The Build Depot (TBD),29,Sherman-Willams,43.99,4.20,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000030,30,HVC-030,"Behr-ly 52"" Ceiling Fan w/ Light No. 30",Quality hardware from The Build Depot (TBD),30,Behr-ly,49.99,4.50,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000031,31,HVC-031,Dromel Smart Thermostat No. 31,Quality hardware from The Build Depot (TBD),31,Dromel,55.99,4.80,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000032,32,HVC-032,BLOCK+DEKKER 20x25x1 HVAC Filter 4-Pk No. 32,Quality hardware from The Build Depot (TBD),32,BLOCK+DEKKER,61.99,5.10,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000033,33,OTD-033,"Kraftsman 21"" Self-Propelled Mower No. 33",Quality hardware from The Build Depot (TBD),33,Kraftsman,283.99,5.40,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000034,34,OTD-034,Huskie Bypass Pruner No. 34,Quality hardware from The Build Depot (TBD),34,Huskie,291.99,0.70,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000035,35,OTD-035,Klien Toolz Solar Path Light 6-Pack No. 35,Quality hardware from The Build Depot (TBD),35,Klien Toolz,299.99,1.00,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000036,36,OTD-036,Levitan 6ft Privacy Fence Panel No. 36,Quality hardware from The Build Depot (TBD),36,Levitan,307.99,1.30,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000037,37,SAF-037,Dolta Faucets Smoke/CO Combo Detector No. 37,Quality hardware from The Build Depot (TBD),37,Dolta Faucets,43.99,1.60,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000038,38,SAF-038,Webber Combination Padlock No. 38,Quality hardware from The Build Depot (TBD),38,Webber,45.99,1.90,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000039,39,SAF-039,Skotts Leather Work Gloves (L) No. 39,Quality hardware from The Build Depot (TBD),39,Skotts,47.99,2.20,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000040,40,SAF-040,STEELE Impact Safety Glasses No. 40,Quality hardware from The Build Depot (TBD),40,STEELE,9.99,2.50,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000041,41,FLR-041,Owens Korning Luxury Vinyl Plank 20sqft No. 41,Quality hardware from The Build Depot (TBD),41,Owens Korning,44.99,2.80,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000042,42,PWR-SAW-042,Milwonky M18 FUEL 7-1/4 in. Circular Saw,Brushless motor with 5800 RPM and magnesium shoe,2,Milwonky,199.99,6.80,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000043,43,FLR-043,Milwonky Click-Lock Laminate 25sqft No. 43,Quality hardware from The Build Depot (TBD),43,Milwonky,50.99,3.40,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000044,44,KTB-044,"Wyobi 36"" Bathroom Vanity No. 44",Quality hardware from The Build Depot (TBD),44,Wyobi,445.99,3.70,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000045,45,KTB-045,Makuta Undermount Kitchen Sink No. 45,Quality hardware from The Build Depot (TBD),45,Makuta,54.99,4.00,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000046,46,KTB-046,Bozch Widespread Bath Faucet No. 46,Quality hardware from The Build Depot (TBD),46,Bozch,63.99,4.30,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000047,47,PWR-047,Stanly Cordless Drill No. 47,Quality hardware from The Build Depot (TBD),1,Stanly,188.99,4.60,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000048,48,PWR-048,"4M 7-1/4"" Circular Saw No. 48",Quality hardware from The Build Depot (TBD),2,4M,195.99,4.90,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000049,49,PWR-049,Rust-O-Liam Orbital Sander No. 49,Quality hardware from The Build Depot (TBD),3,Rust-O-Liam,202.99,5.20,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000050,50,HND-WRN-050,Kraftsman 24-Piece Mechanics Tool Set,SAE and Metric socket set with quick-release ratchet,5,Kraftsman,49.99,4.10,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000051,51,HND-051,Behr-ly Combination Wrench Set No. 51,Quality hardware from The Build Depot (TBD),5,Behr-ly,87.99,0.80,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000052,52,HND-052,Dromel Needle-Nose Pliers No. 52,Quality hardware from The Build Depot (TBD),6,Dromel,90.99,1.10,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000053,53,HND-053,BLOCK+DEKKER 10-Piece Screwdriver Set No. 53,Quality hardware from The Build Depot (TBD),7,BLOCK+DEKKER,93.99,1.40,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000054,54,HND-054,Kraftsman 16 oz. Claw Hammer No. 54,Quality hardware from The Build Depot (TBD),8,Kraftsman,16.99,1.70,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000055,55,PLB-055,"Huskie 1/2"" PVC Pipe 10ft No. 55",Quality hardware from The Build Depot (TBD),9,Huskie,14.99,2.00,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000056,56,PLB-056,Klien Toolz Pull-Down Kitchen Faucet No. 56,Quality hardware from The Build Depot (TBD),10,Klien Toolz,25.99,2.30,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000057,57,PLB-057,"Levitan 3/4"" Ball Valve No. 57",Quality hardware from The Build Depot (TBD),11,Levitan,36.99,2.60,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000058,58,PLB-058,Dolta Faucets 40-Gal Gas Water Heater No. 58,Quality hardware from The Build Depot (TBD),12,Dolta Faucets,47.99,2.90,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000059,59,ELC-059,Webber 14/2 Romex Wire 250ft No. 59,Quality hardware from The Build Depot (TBD),13,Webber,99.99,3.20,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000060,60,ELC-060,Skotts Decora 15A Outlet No. 60,Quality hardware from The Build Depot (TBD),14,Skotts,4.99,3.50,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000061,61,ELC-061,STEELE 20A Circuit Breaker No. 61,Quality hardware from The Build Depot (TBD),15,STEELE,9.99,3.80,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000062,62,ELC-062,Owens Korning LED A19 Bulb 4-Pack No. 62,Quality hardware from The Build Depot (TBD),16,Owens Korning,14.99,4.10,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000063,63,PNT-063,DeWalter Interior Flat Paint 1-Gal No. 63,Quality hardware from The Build Depot (TBD),17,DeWalter,18.99,4.40,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000064,64,PNT-064,Milwonky Exterior Semi-Gloss 1-Gal No. 64,Quality hardware from The Build Depot (TBD),18,Milwonky,20.99,4.70,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000065,65,PNT-065,Wyobi Deck Stain Transparent 1-Gal No. 65,Quality hardware from The Build Depot (TBD),19,Wyobi,22.99,5.00,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000066,66,PNT-066,Makuta Multi-Surface Primer 1-Qt No. 66,Quality hardware from The Build Depot (TBD),20,Makuta,24.99,5.30,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000067,67,HDW-067,"Bozch #8 x 2"" Wood Screws 100-Pk No. 67",Quality hardware from The Build Depot (TBD),21,Bozch,10.99,0.60,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000068,68,HDW-068,"Stanly 3"" Framing Nails 1-Lb No. 68",Quality hardware from The Build Depot (TBD),22,Stanly,11.99,0.90,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000069,69,HDW-069,4M Drywall Anchor Kit 50-Pk No. 69,Quality hardware from The Build Depot (TBD),23,4M,12.99,1.20,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000070,70,HDW-070,"Rust-O-Liam 3.5"" Door Hinge 3-Pack No. 70",Quality hardware from The Build Depot (TBD),24,Rust-O-Liam,13.99,1.50,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000071,71,LBR-071,Sherman-Willams 2x4x8 Kiln-Dried SPF No. 71,Quality hardware from The Build Depot (TBD),25,Sherman-Willams,39.99,1.80,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000072,72,LBR-072,"Behr-ly 4x8 1/2"" Plywood Panel No. 72",Quality hardware from The Build Depot (TBD),26,Behr-ly,43.99,2.10,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000073,73,LBR-073,"Dromel R-13 Fiberglass Batt 15"" No. 73",Quality hardware from The Build Depot (TBD),27,Dromel,47.99,2.40,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000074,74,LBR-074,"BLOCK+DEKKER 4x8 1/2"" Drywall Sheet No. 74",Quality hardware from The Build Depot (TBD),28,BLOCK+DEKKER,51.99,2.70,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000075,75,HVC-075,Kraftsman 1500W Ceramic Space Heater No. 75,Quality hardware from The Build Depot (TBD),29,Kraftsman,19.99,3.00,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000076,76,HVC-076,"Huskie 52"" Ceiling Fan w/ Light No. 76",Quality hardware from The Build Depot (TBD),30,Huskie,25.99,3.30,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000077,77,HVC-077,Klien Toolz Smart Thermostat No. 77,Quality hardware from The Build Depot (TBD),31,Klien Toolz,31.99,3.60,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000078,78,HVC-078,Levitan 20x25x1 HVAC Filter 4-Pk No. 78,Quality hardware from The Build Depot (TBD),32,Levitan,37.99,3.90,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000079,79,OTD-079,"Dolta Faucets 21"" Self-Propelled Mower No. 79",Quality hardware from The Build Depot (TBD),33,Dolta Faucets,301.99,4.20,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000080,80,OTD-080,Webber Bypass Pruner No. 80,Quality hardware from The Build Depot (TBD),34,Webber,309.99,4.50,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000081,81,OTD-081,Skotts Solar Path Light 6-Pack No. 81,Quality hardware from The Build Depot (TBD),35,Skotts,317.99,4.80,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000082,82,OTD-082,STEELE 6ft Privacy Fence Panel No. 82,Quality hardware from The Build Depot (TBD),36,STEELE,325.99,5.10,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000083,83,SAF-083,Owens Korning Smoke/CO Combo Detector No. 83,Quality hardware from The Build Depot (TBD),37,Owens Korning,15.99,5.40,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000084,84,SAF-084,DeWalter Combination Padlock No. 84,Quality hardware from The Build Depot (TBD),38,DeWalter,17.99,0.70,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000085,85,SAF-085,Milwonky Leather Work Gloves (L) No. 85,Quality hardware from The Build Depot (TBD),39,Milwonky,19.99,1.00,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000086,86,SAF-086,Wyobi Impact Safety Glasses No. 86,Quality hardware from The Build Depot (TBD),40,Wyobi,21.99,1.30,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000087,87,FLR-087,Makuta Luxury Vinyl Plank 20sqft No. 87,Quality hardware from The Build Depot (TBD),41,Makuta,22.99,1.60,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000088,88,FLR-088,Bozch 12x12 Ceramic Floor Tile No. 88,Quality hardware from The Build Depot (TBD),42,Bozch,25.99,1.90,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
TBD_PR_000089,89,FLR-089,Stanly Click-Lock Laminate 25sqft No. 89,Quality hardware from The Build Depot (TBD),43,Stanly,28.99,2.20,TRUE,2022-06-01 00:00:00.000,2022-06-01 00:00:00.000,FALSE,2026-05-15 14:57:09.450 -0700,DEMO_2026_SCENARIOS,
